metric_id,metric_label,year,observed_country_count,record_count,total_value,mean_value,median_value,unit,price_basis,amount_measure,source_first_observed_year,source_last_observed_year,year_complete,coverage_status,coverage_note
aiddata,AidData commitments,2000,22,74,1500094126.459418,68186096.657246,15523691.248307,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2001,30,103,2689772720.901892,89659090.69673,48689957.162373,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2002,33,126,2433159337.603129,73732101.139489,18525929.094979,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2003,28,131,3325617152.935217,118772041.176258,12348829.348224,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2004,32,145,2463331119.675838,76979097.48987,14072408.094309,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2005,35,213,5733212435.785569,163806069.593873,17270633.757816,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2006,41,256,16449765016.180624,401213780.882454,34321479.338909,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2007,45,333,12290446171.749113,273121026.038869,65143168.41489,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2008,40,293,18973245811.84081,474331145.29602,48865102.305629,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2009,44,328,16286677915.395834,370151770.804451,53784227.796509,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2010,37,289,12995419129.051512,351227544.028419,54421657.274199,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
aiddata,AidData commitments,2011,44,376,12939914451.399866,294088964.804542,88564605.768775,USD,constant_2023_usd,commitment,2000,2023,,observed,annual_source_completeness_not_separately_reported
