project_match_id,member_count,source_count,sources,country_iso3,year,member_record_keys,group_basis
PM-2E21FFAC6390A9,2,2,aiddata|chapo,,2000,aiddata:36338|chapo:36338,direct_reference
PM-F2847EF4314141,2,2,aiddata|chapo,,2000,aiddata:36233|chapo:36233,direct_reference
PM-64FD3EB4DE77D3,2,2,aiddata|chapo,,2002,aiddata:87607|chapo:87607,direct_reference
PM-C3B22567DFA09C,2,2,aiddata|chapo,,2002,aiddata:57864|chapo:57864,direct_reference
PM-E24D019562894E,2,2,aiddata|chapo,,2002,aiddata:36232|chapo:36232,direct_reference
PM-F8D1D566EEF174,2,2,aiddata|chapo,,2003,aiddata:36337|chapo:36337,direct_reference
PM-49CED1BF7A3743,2,2,aiddata|chapo,,2004,aiddata:36231|chapo:36231,direct_reference
PM-F6FAFAFA61267C,2,2,aiddata|chapo,,2004,aiddata:56487|chapo:56487,direct_reference
PM-245DFB87F12DFC,2,2,aiddata|chapo,,2005,aiddata:36336|chapo:36336,direct_reference
PM-00A4D5115714A5,2,2,aiddata|chapo,,2006,aiddata:56519|chapo:56519,direct_reference
PM-4FFA0A4E11CB24,2,2,aiddata|chapo,,2006,aiddata:36230|chapo:36230,direct_reference
PM-9FD6D032DD5BCD,2,2,aiddata|chapo,,2006,aiddata:68871|chapo:68871,direct_reference
PM-A314E479C07298,2,2,aiddata|chapo,,2006,aiddata:87605|chapo:87605,direct_reference
PM-B505FDEA4A8012,2,2,aiddata|chapo,,2006,aiddata:1075|chapo:1075,direct_reference
PM-BE2E03823672A0,2,2,aiddata|chapo,,2006,aiddata:34151|chapo:34151,direct_reference
PM-D904602E7F6D73,2,2,aiddata|chapo,,2006,aiddata:32766|chapo:32766,direct_reference
PM-15E7773D7D7764,2,2,aiddata|chapo,,2007,aiddata:36335|chapo:36335,direct_reference
PM-87CB45A9DB2228,2,2,aiddata|chapo,,2007,aiddata:55728|chapo:55728,direct_reference
PM-6EF1FD135A811A,2,2,aiddata|chapo,,2008,aiddata:36229|chapo:36229,direct_reference
PM-CFE3BF7DF4FD17,2,2,aiddata|chapo,,2008,aiddata:34915|chapo:34915,direct_reference
PM-E7915E9AC403EF,2,2,aiddata|chapo,,2008,aiddata:30523|chapo:30523,direct_reference
PM-F3CBB6FF6EC7BC,2,2,aiddata|chapo,,2008,aiddata:87603|chapo:87603,direct_reference
PM-4F412A9652E2D3,2,2,aiddata|chapo,,2009,aiddata:452|chapo:452,direct_reference
PM-5D75F866941EB7,2,2,aiddata|chapo,,2009,aiddata:68488|chapo:68488,direct_reference
PM-64E7011325466E,2,2,aiddata|chapo,,2009,aiddata:56234|chapo:56234,direct_reference
PM-88D64EFE41C816,2,2,aiddata|chapo,,2009,aiddata:56299|chapo:56299,direct_reference
PM-8CBDAD89F35D89,2,2,aiddata|chapo,,2009,aiddata:56247|chapo:56247,direct_reference
PM-9459076382450D,2,2,aiddata|chapo,,2009,aiddata:56296|chapo:56296,direct_reference
PM-A0BD5AE69DED56,2,2,aiddata|chapo,,2009,aiddata:30201|chapo:30201,direct_reference
PM-A1AAC98C0E89D1,2,2,aiddata|chapo,,2009,aiddata:34168|chapo:34168,direct_reference
PM-D15B3F18D777AA,2,2,aiddata|chapo,,2009,aiddata:36334|chapo:36334,direct_reference
PM-A1FDB73E484DDB,2,2,aiddata|chapo,,2010,aiddata:30513|chapo:30513,direct_reference
PM-AA43A2BC84F18B,2,2,aiddata|chapo,,2010,aiddata:36228|chapo:36228,direct_reference
PM-BF801D638BFC9C,2,2,aiddata|chapo,,2010,aiddata:56229|chapo:56229,direct_reference
PM-27B767F7A17B39,2,2,aiddata|chapo,,2011,aiddata:72935|chapo:72935,direct_reference
PM-5B8E00FABF9C0C,2,2,aiddata|chapo,,2011,aiddata:56219|chapo:56219,direct_reference
PM-708C56FAB37532,2,2,aiddata|chapo,,2011,aiddata:32013|chapo:32013,direct_reference
PM-841CB487259622,2,2,aiddata|chapo,,2011,aiddata:31990|chapo:31990,direct_reference
PM-D569DD47412814,2,2,aiddata|chapo,,2011,aiddata:32012|chapo:32012,direct_reference
