scope,left_metric,right_metric,lineage_classification,baseline_n,robust_n,baseline_spearman,robust_spearman,delta_spearman,baseline_kendall,robust_kendall,delta_kendall,flagged_outliers_removed,stability,interpretation_limit
country_common_year_total,codf,cla,likely_shared_lineage,38,38,0.97352,0.97352,0.0,0.894737,0.894737,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,aiddata,codf,distinct_source_comparison,39,39,0.943725,0.943725,0.0,0.816464,0.816464,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,aiddata,cla,distinct_source_comparison,45,45,0.938603,0.938603,0.0,0.8,0.8,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,codf,cla,likely_shared_lineage,239,239,0.937027,0.937027,0.0,0.850277,0.850277,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,cla,china_eu_finance,distinct_source_comparison,43,43,0.915886,0.915886,0.0,0.758583,0.758583,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,cla,cgef,likely_shared_lineage,17,17,0.887255,0.887255,0.0,0.720588,0.720588,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,codf,china_eu_finance,distinct_source_comparison,35,35,0.87591,0.87591,0.0,0.694118,0.694118,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,codf,cgef,likely_shared_lineage,17,17,0.875,0.875,0.0,0.735294,0.735294,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,aiddata,china_eu_finance,distinct_source_comparison,49,49,0.869082,0.869082,0.0,0.743197,0.743197,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,aiddata,cgef,distinct_source_comparison,18,18,0.861713,0.861713,0.0,0.686275,0.686275,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,aiddata,cla,distinct_source_comparison,419,419,0.807594,0.807594,0.0,0.652529,0.652529,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,aiddata,china_eu_finance,distinct_source_comparison,649,649,0.791877,0.791877,0.0,0.654397,0.654397,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,aiddata,codf,distinct_source_comparison,242,242,0.791313,0.791313,0.0,0.620017,0.620017,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,cla,china_eu_finance,distinct_source_comparison,346,346,0.747458,0.747458,0.0,0.574364,0.574364,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,cgef,china_eu_finance,distinct_source_comparison,17,17,0.730392,0.730392,0.0,0.558824,0.558824,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,codf,cgef,likely_shared_lineage,78,78,0.730011,0.730011,0.0,0.589,0.589,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,cla,cgef,likely_shared_lineage,91,91,0.696771,0.696771,0.0,0.556492,0.556492,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,cla,chapo,distinct_source_comparison,33,33,0.611297,0.611297,0.0,0.450758,0.450758,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,codf,china_eu_finance,distinct_source_comparison,185,185,0.602062,0.602062,0.0,0.448461,0.448461,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,chapo,china_eu_finance,distinct_source_comparison,45,45,0.569302,0.569302,0.0,0.389899,0.389899,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,aiddata,chapo,documented_cross_reference_overlap,50,50,0.555822,0.555822,0.0,0.40898,0.40898,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,aiddata,cgef,distinct_source_comparison,93,93,0.519522,0.519522,0.0,0.389805,0.389805,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,cgef,china_eu_finance,distinct_source_comparison,80,80,0.311058,0.311058,0.0,0.214975,0.214975,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,codf,chapo,distinct_source_comparison,24,24,0.257391,0.257391,0.0,0.210145,0.210145,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_common_year_total,cgef,chapo,distinct_source_comparison,10,10,0.175758,0.175758,0.0,0.2,0.2,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
country_year_overlap,chapo,china_eu_finance,distinct_source_comparison,247,247,0.151286,0.151286,0.0,0.107192,0.107192,0.0,17,stable,Sensitivity check excludes flagged project-level outlier candidates only; lineage labels warn against treating related compilations as independent confirmation.
