metric_id,metric_label,iso3,country_name_en,observed_year_count,first_observed_year,last_observed_year,total_value,annual_mean,annual_median,rank_within_metric,unit,price_basis,aggregation_caveat
aiddata,AidData commitments,AGO,Angola,22,2001,2023,73827757104.82726,3355807141.128511,2531644054.824522,1,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,COD,"Congo, Dem. Rep.",22,2000,2023,22576763965.059727,1026216543.866351,338230094.061103,2,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,ZAF,South Africa,22,2001,2023,22439024541.025135,1019955660.955688,521360963.630289,3,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,ETH,Ethiopia,24,2000,2023,18920406246.733307,788350260.280554,223504667.26928,4,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,NGA,Nigeria,20,2002,2023,18776530748.254227,938826537.412711,835409946.088216,5,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,SDN,Sudan,24,2000,2023,17432864013.401173,726369333.891716,252357024.27203,6,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,EGY,Egypt,21,2002,2023,16935044771.329649,806430703.39665,153469691.484455,7,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,ZMB,Zambia,24,2000,2023,13155006425.603321,548125267.733472,199969954.483245,8,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,KEN,Kenya,22,2001,2023,11082618128.872452,503755369.494202,227439033.956594,9,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,GHA,Ghana,23,2000,2023,10343919908.479053,449735648.194741,233404744.69901,10,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,GNQ,Equatorial Guinea,22,2001,2022,9345669479.658516,424803158.166296,176932462.28923,11,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,MOZ,Mozambique,22,2000,2022,8990842556.48569,408674661.65844,35624813.635587,12,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,CMR,Cameroon,19,2001,2022,8134268491.339434,428119394.281023,188954073.013924,13,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,GIN,Guinea,18,2001,2023,7259361673.260499,403297870.736694,86773553.724623,14,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,CIV,Cote d'Ivoire,20,2000,2023,6859170044.890212,342958502.244511,125369042.398768,15,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,ZWE,Zimbabwe,24,2000,2023,5265840384.178667,219410016.007444,99688472.728797,16,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,UGA,Uganda,23,2000,2023,5215948567.005418,226780372.478496,51997361.533419,17,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,NER,Niger,23,2001,2023,5128896078.819757,222995481.687816,17694702.385429,18,USD,constant_2023_usd,within_source_price_basis_preserved
aiddata,AidData commitments,SSD,South Sudan,12,2011,2022,4986073859.485082,415506154.95709,23795094.718414,19,USD,constant_2023_usd,within_source_price_basis_preserved
