scope,left_metric,left_label,right_metric,right_label,paired_observations,shared_country_years,spearman_rho,kendall_tau_b,left_price_basis,right_price_basis,comparability_tier,interpretation_limit
country_year_overlap,aiddata,AidData commitments,codf,CODF loan commitments,242,242,0.791313,0.620017,constant_2023_usd,nominal_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,aiddata,AidData commitments,codf,CODF loan commitments,39,238,0.943725,0.816464,constant_2023_usd,nominal_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,aiddata,AidData commitments,cla,CLA loan commitments,419,419,0.807594,0.652529,constant_2023_usd,nominal_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,aiddata,AidData commitments,cla,CLA loan commitments,45,418,0.938603,0.8,constant_2023_usd,nominal_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,aiddata,AidData commitments,cgef,CGEF loan commitments,93,93,0.519522,0.389805,constant_2023_usd,nominal_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,aiddata,AidData commitments,cgef,CGEF loan commitments,18,79,0.861713,0.686275,constant_2023_usd,nominal_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,aiddata,AidData commitments,chapo,CHAPO commitments,370,370,0.082987,0.076245,constant_2023_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,aiddata,AidData commitments,chapo,CHAPO commitments,50,370,0.555822,0.40898,constant_2023_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,aiddata,AidData commitments,china_eu_finance,China development finance,649,649,0.791877,0.654397,constant_2023_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,aiddata,AidData commitments,china_eu_finance,China development finance,49,648,0.869082,0.743197,constant_2023_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,codf,CODF loan commitments,cla,CLA loan commitments,239,239,0.937027,0.850277,nominal_usd,nominal_usd,same_basis_rank_comparison,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,codf,CODF loan commitments,cla,CLA loan commitments,38,234,0.97352,0.894737,nominal_usd,nominal_usd,same_basis_rank_comparison,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,codf,CODF loan commitments,cgef,CGEF loan commitments,78,78,0.730011,0.589,nominal_usd,nominal_usd,same_basis_rank_comparison,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,codf,CODF loan commitments,cgef,CGEF loan commitments,17,62,0.875,0.735294,nominal_usd,nominal_usd,same_basis_rank_comparison,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,codf,CODF loan commitments,chapo,CHAPO commitments,108,108,-0.050998,-0.043636,nominal_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_common_year_total,codf,CODF loan commitments,chapo,CHAPO commitments,24,98,0.257391,0.210145,nominal_usd,constant_2021_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
country_year_overlap,codf,CODF loan commitments,china_eu_finance,China development finance,185,185,0.602062,0.448461,nominal_usd,constant_2017_usd,different_basis_rank_only,Association on pairwise observed ranks; not an agreement of monetary levels and not causal.
