table,column,module,description,unit,key_role,missing_rule
master_panel_wide,iso3,索引,ISO3 country code,text,composite_primary_key,not_missing
master_panel_wide,year,索引,"Calendar year, restricted to 2000-2024",integer,composite_primary_key,not_missing
master_panel_wide,country_name_en,索引,Standard English country name,text,,not_missing
master_panel_wide,country_name_zh,索引,Standard Chinese country name,text,,not_missing
master_panel_wide,aiddata_count,记录与质量,Record or known-value count for aiddata,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,aiddata_amount_known_count,记录与质量,Record or known-value count for aiddata_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,aiddata_total_usd,项目库汇总,Source-specific annual amount for aiddata; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,codf_count,记录与质量,Record or known-value count for codf,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,codf_amount_known_count,记录与质量,Record or known-value count for codf_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,codf_total_usd,项目库汇总,Source-specific annual amount for codf; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cla_count,记录与质量,Record or known-value count for cla,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cla_amount_known_count,记录与质量,Record or known-value count for cla_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cla_total_usd,项目库汇总,Source-specific annual amount for cla; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cancel_count,记录与质量,Record or known-value count for cancel,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cancel_amount_known_count,记录与质量,Record or known-value count for cancel_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cancel_total_usd,项目库汇总,Source-specific annual amount for cancel; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,restruct_count,记录与质量,Record or known-value count for restruct,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,restruct_amount_known_count,记录与质量,Record or known-value count for restruct_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,restruct_total_usd,项目库汇总,Source-specific annual amount for restruct; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cofi_count,记录与质量,Record or known-value count for cofi,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cofi_amount_known_count,记录与质量,Record or known-value count for cofi_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cofi_total_usd,项目库汇总,Source-specific annual amount for cofi; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cgef_count,记录与质量,Record or known-value count for cgef,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cgef_amount_known_count,记录与质量,Record or known-value count for cgef_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,cgef_total_usd,项目库汇总,Source-specific annual amount for cgef; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cgp_count,记录与质量,Record or known-value count for cgp,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,chapo_count,记录与质量,Record or known-value count for chapo,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,chapo_amount_known_count,记录与质量,Record or known-value count for chapo_amount_known,count,,blank_when_not_observed; zero_is_observed
master_panel_wide,chapo_total_usd,项目库汇总,Source-specific annual amount for chapo; never add across sources,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cgp_capacity_mw,特殊量纲,CGP generating-unit capacity assigned to financing year; commissioning year is fallback,MW,,blank_when_not_observed; zero_is_observed
master_panel_wide,chapo_loan_usd,资金性质,Source-specific fund-type amount: chapo_loan_usd,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cofi_loan_usd,资金性质,Source-specific fund-type amount: cofi_loan_usd,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,cla_loan_usd,资金性质,Source-specific fund-type amount: cla_loan_usd,USD,,blank_when_not_observed; zero_is_observed
master_panel_wide,aiddata_grant_usd,资金性质,Source-specific fund-type amount: aiddata_grant_usd,USD,,blank_when_not_observed; zero_is_observed
