panel_id,iso3,country_name_en,year,source,fund_type,amount_usd,amount_known_count,price_basis
AGO::aiddata::grant,AGO,Angola,2001,aiddata,grant,1393513.045241,1,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2001,aiddata,loan,13935130.452407,1,constant_2023_usd
AGO::chapo::loan,AGO,Angola,2001,chapo,loan,15087226.60448,1,constant_2021_usd
AGO::aiddata::grant,AGO,Angola,2002,aiddata,grant,4164877.680659,3,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2002,aiddata,loan,452482717.627645,9,constant_2023_usd
AGO::cgef::loan,AGO,Angola,2002,cgef,loan,55000000.0,3,nominal_usd
AGO::cla::loan,AGO,Angola,2002,cla,loan,145000000.0,4,nominal_usd
AGO::aiddata::loan,AGO,Angola,2003,aiddata,loan,24750384.126445,1,constant_2023_usd
AGO::chapo::grant,AGO,Angola,2003,chapo,grant,730819.122114,1,constant_2021_usd
AGO::cla::loan,AGO,Angola,2003,cla,loan,11000000.0,1,nominal_usd
AGO::aiddata::loan,AGO,Angola,2004,aiddata,loan,914380747.315697,4,constant_2023_usd
AGO::cgef::loan,AGO,Angola,2004,cgef,loan,40060000.0,1,nominal_usd
AGO::cla::loan,AGO,Angola,2004,cla,loan,435050000.0,4,nominal_usd
AGO::aiddata::grant,AGO,Angola,2005,aiddata,grant,2004931.818189,1,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2005,aiddata,loan,2639055282.60602,34,constant_2023_usd
AGO::cgef::loan,AGO,Angola,2005,cgef,loan,99640000.0,4,nominal_usd
AGO::chapo::grant,AGO,Angola,2005,chapo,grant,264867.186736,1,constant_2021_usd
AGO::chapo::loan,AGO,Angola,2005,chapo,loan,486525872.037338,10,constant_2021_usd
AGO::cla::loan,AGO,Angola,2005,cla,loan,1042700000.0,32,nominal_usd
AGO::aiddata::grant,AGO,Angola,2006,aiddata,grant,1081435.072777,2,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2006,aiddata,loan,6891614533.85323,15,constant_2023_usd
AGO::cla::loan,AGO,Angola,2006,cla,loan,705000000.0,11,nominal_usd
AGO::aiddata::debt_relief,AGO,Angola,2007,aiddata,debt_relief,10922412.021096,1,constant_2023_usd
AGO::aiddata::grant,AGO,Angola,2007,aiddata,grant,436896.480844,1,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2007,aiddata,loan,3597751501.850492,33,constant_2023_usd
AGO::cancel::debt_relief,AGO,Angola,2007,cancel,debt_relief,7000000.0,1,nominal_usd
AGO::cgef::loan,AGO,Angola,2007,cgef,loan,186870000.0,4,nominal_usd
AGO::chapo::grant,AGO,Angola,2007,chapo,grant,473103.668737,1,constant_2021_usd
AGO::chapo::loan,AGO,Angola,2007,chapo,loan,258145760.0619,3,constant_2021_usd
AGO::cla::loan,AGO,Angola,2007,cla,loan,2708730000.0,31,nominal_usd
AGO::aiddata::loan,AGO,Angola,2008,aiddata,loan,2225835919.27118,6,constant_2023_usd
AGO::cgef::loan,AGO,Angola,2008,cgef,loan,227740000.0,4,nominal_usd
AGO::cla::loan,AGO,Angola,2008,cla,loan,880930000.0,6,nominal_usd
AGO::codf::loan,AGO,Angola,2008,codf,loan,880930000.0,6,nominal_usd
AGO::aiddata::debt_relief,AGO,Angola,2009,aiddata,debt_relief,3529468.373949,1,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2009,aiddata,loan,3941331077.672107,6,constant_2023_usd
AGO::cancel::debt_relief,AGO,Angola,2009,cancel,debt_relief,3000000.0,1,nominal_usd
AGO::cgef::loan,AGO,Angola,2009,cgef,loan,27320000.0,1,nominal_usd
AGO::cla::loan,AGO,Angola,2009,cla,loan,756890000.0,8,nominal_usd
AGO::codf::loan,AGO,Angola,2009,codf,loan,724100000.0,6,nominal_usd
AGO::aiddata::grant,AGO,Angola,2010,aiddata,grant,57665506.126771,2,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2010,aiddata,loan,3971595604.9392,4,constant_2023_usd
AGO::cgef::loan,AGO,Angola,2010,cgef,loan,3720000.0,1,nominal_usd
AGO::cla::loan,AGO,Angola,2010,cla,loan,2781440000.0,8,nominal_usd
AGO::codf::loan,AGO,Angola,2010,codf,loan,277190000.0,6,nominal_usd
AGO::aiddata::grant,AGO,Angola,2011,aiddata,grant,352473.242598,2,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2011,aiddata,loan,2421875421.982237,3,constant_2023_usd
AGO::cgef::loan,AGO,Angola,2011,cgef,loan,2000000000.0,1,nominal_usd
AGO::chapo::grant,AGO,Angola,2011,chapo,grant,380499.351977,1,constant_2021_usd
AGO::cla::loan,AGO,Angola,2011,cla,loan,2620510000.0,14,nominal_usd
AGO::codf::loan,AGO,Angola,2011,codf,loan,2586040000.0,12,nominal_usd
AGO::aiddata::grant,AGO,Angola,2012,aiddata,grant,17179926.676133,1,constant_2023_usd
AGO::aiddata::loan,AGO,Angola,2012,aiddata,loan,2256508731.23679,5,constant_2023_usd
AGO::aiddata::unspecified,AGO,Angola,2012,aiddata,unspecified,27095445.860192,1,constant_2023_usd
AGO::cgef::loan,AGO,Angola,2012,cgef,loan,1000000000.0,1,nominal_usd
AGO::chapo::grant,AGO,Angola,2012,chapo,grant,18611390.211078,1,constant_2021_usd
AGO::cla::loan,AGO,Angola,2012,cla,loan,1510440000.0,9,nominal_usd
AGO::codf::loan,AGO,Angola,2012,codf,loan,1348670000.0,5,nominal_usd
AGO::aiddata::grant,AGO,Angola,2013,aiddata,grant,33632264.992053,1,constant_2023_usd
