candidate_id,left_record_key,right_record_key,country_iso3,year,similarity,status,review_decision,method,left_title,right_title
MC-00327AE38BC529,cla:ET.007,codf:ET.007,ETH,2009,1.0,reviewed,same_project,normalized_title_sequence_token_v1,Genale-Dawa III Hydropower Plant (254MW),Genale-Dawa III Hydropower Plant (254MW)
MC-00356FCB81219C,cla:AO.009.21,codf:AO.009.21,AGO,2010,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Water Supply System, Lunda-Norte and Lunda-Sul, Rehabilitation and Reinforcement, Part 1","Water Supply System, Lunda-Norte and Lunda-Sul, Rehabilitation and Reinforcement, Part 1"
MC-005BD2CD18B88E,aiddata:88135,chapo:88135,LBR,2019,1,direct_reference,confirmed_by_source_id,source_cross_reference,"China's 12th medical team to Liberia provides USD 20,000 donation of free consultations and medicine to patients in Maryland, Liberia",12th team provided free consultations & medicine in Maryland
MC-005ECDE6C7C225,aiddata:96921,chapo:96921,BWA,2021,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Embassy donates anti-epidemic supplies worth over USD 60,000 to Botswana Ministry of Health in August 2021 (Linked to Record ID #103305)",Embassy donates anti-epidemic supplies to Ministry of Health
MC-0060C0ADD4470B,aiddata:56145,chapo:56145,SYC,2013,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Embassy grants $3000 USD for child's medical treatment in Seychelles,Embassy grants funds for child's med. treatment in Seychelles
MC-0082B6B49CF742,cgp:ZA.003.1,cla:ZA.005,ZAF,2016,1,direct_reference,confirmed_by_source_id,source_cross_reference,Ingula Hydropower Plant,"Eskom Capital Expenditure Programme: Medupi (4,800 MW) and Kusile Coal Plants (800 MW), Ingula HPP (333 MW), and Matla Mine 1 Shaft Relocation"
MC-008E006E3B2F6E,cla:AO.005.03,codf:AO.005.03,AGO,2008,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Rehabilitation and Expansion of the Medium Voltage (MT) and Low Voltage (BT) Networks, Luanda","Rehabilitation and Expansion of the Medium Voltage (MT) and Low Voltage (BT) Networks, Luanda"
MC-0096FDDA6E8C9A,cgp:ET.002.2,cla:ET.033,ETH,2013,1,direct_reference,confirmed_by_source_id,source_cross_reference,Adama Wind Farm,Adama Wind Array 2 (153MW)
MC-009B0AA97209B8,aiddata:924,chapo:924,LSO,2002,1,direct_reference,confirmed_by_source_id,source_cross_reference,China Donates Anti-tuberculosis Drugs to Lesotho,China donated anti-tuberculosis drugs
MC-00A4D5115714A5,aiddata:56519,chapo:56519,,2006,1,direct_reference,confirmed_by_source_id,source_cross_reference,China grants anti-malaria drugs worth 52 million CFA Francs to the Central African Republic,Donates anti-Malaria drugs
