outlier_id,record_key,source_db,record_id,country_iso3,year,project_name,amount_value,amount_unit,price_basis,amount_measure,detection_method,robust_z,group_known_count,group_median_amount,review_decision,review_notes
OL-B89320F8644899,codf:AO.089.96,codf,AO.089.96,AGO,2016,Sonangol Recapitalization,10000000000.0,USD,nominal_usd,loan_commitment,source_measure_log_mad_gt_3_5,4.4813,576,100000000.0,,
OL-68C304C8CD609E,aiddata:103080,aiddata,103080,SLE,2022,"Chinese Embassy donates Le150,000 for emergency relief to Sierra Leone's Ministry of Social Welfare",10.134797,USD,constant_2023_usd,commitment,source_measure_log_mad_gt_3_5,-3.9271,4500,6570552.823646,,
OL-EAF79D3BDF7945,cofi:MAR2022006:equity,cofi,MAR2022006:equity,MAR,2017,NOOR OUARZAZATE-I,1950000.0,USD,nominal_usd,investment,source_measure_log_mad_gt_3_5,-3.8726,103,175000000.0,,
OL-BE75BD7D4696D3,aiddata:92851,aiddata,92851,TZA,2020,"Chinese Embassy donates Hospital materials worth of 30,000 Tanzanian Shillings to Tanzania Vijibweni Hospital",13.416914,USD,constant_2023_usd,commitment,source_measure_log_mad_gt_3_5,-3.8448,4500,6570552.823646,,
OL-7788E137BAA063,cofi:MAR2021002:debt,cofi,MAR2021002:debt,MAR,2002,Chefchaouen,2130000.0,USD,nominal_usd,investment,source_measure_log_mad_gt_3_5,-3.7965,103,175000000.0,,
OL-9A0304662C8778,cofi:MAR2021001:debt,cofi,MAR2021001:debt,MAR,2002,Al-Hoceima,2130000.0,USD,nominal_usd,investment,source_measure_log_mad_gt_3_5,-3.7965,103,175000000.0,,
OL-B3FFB6AAD7DBBC,cofi:MAR2021003:debt,cofi,MAR2021003:debt,MAR,2002,Ifrane,2130000.0,USD,nominal_usd,investment,source_measure_log_mad_gt_3_5,-3.7965,103,175000000.0,,
OL-ABC675220AE2DB,chapo:92851,chapo,92851,TZA,2020,Embassy donated hospital materials to Tanzania Vijibweni hospital,14.523616,USD,constant_2021_usd,commitment,source_measure_log_mad_gt_3_5,-3.7115,847,441590.954193,,
OL-0D27C6AA322087,aiddata:89410,aiddata,89410,EGY,2019,CBE makes RMB 18 billion drawdown under currency swap agreement with PBOC in 2019,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-11495A27A70EDC,aiddata:108210,aiddata,108210,EGY,2023,CBE makes RMB 18 billion drawdown under currency swap agreement with PBOC in 2023,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-2B95172BDCF08B,aiddata:96201,aiddata,96201,EGY,2021,CBE makes RMB 18 billion drawdown under currency swap agreement with PBOC in 2021,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-3225CD86984E24,aiddata:102294,aiddata,102294,NGA,2022,CBN makes RMB 2.67 billion drawdown under currency swap agreement with PBOC in 2022,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-5FEE492CB15C12,aiddata:108142,aiddata,108142,NGA,2023,CBN makes RMB 765.32 million drawdown under currency swap agreement with PBOC in 2023,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-7BA01F157C9F21,aiddata:100411,aiddata,100411,EGY,2022,CBE makes RMB 18 billion drawdown under currency swap agreement with PBOC in 2022,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-7C50D14E1813A3,aiddata:96200,aiddata,96200,EGY,2020,CBE makes RMB 18 billion drawdown under currency swap agreement with PBOC in 2020,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-97A5EA218EA592,aiddata:89408,aiddata,89408,EGY,2018,CBE makes RMB 18 billion drawdown under currency swap agreement with PBOC in 2018,0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
OL-A1589A24BC7DFD,aiddata:98521,aiddata,98521,MWI,2022,ICBC London provides $28 million loan — via cross currency swap facility agreement — to Reserve Bank of Malawi to shore up foreign exchange reserves and finance the government’s current account deficit in 2022 (Linked to Record ID#98519 and #98520),0.0,USD,constant_2023_usd,commitment,nonpositive_project_amount,,4500,6570552.823646,,
