variable,panel_rows,observed_count,missing_count,missing_rate,zero_count,negative_count,countries_with_data,years_with_data,first_observed_year,last_observed_year
aiddata_total_usd,1350,957,393,0.291111,0,0,51,24,2000,2023
codf_total_usd,1350,252,1098,0.813333,0,0,44,17,2008,2024
cla_total_usd,1350,448,902,0.668148,0,0,47,25,2000,2024
cancel_total_usd,1350,77,1273,0.942963,0,0,37,15,2001,2019
restruct_total_usd,1350,16,1334,0.988148,0,0,10,11,2002,2019
cofi_total_usd,1350,76,1274,0.943704,0,0,32,19,2000,2020
cgef_total_usd,1350,94,1256,0.93037,0,0,33,20,2002,2023
chapo_total_usd,1350,395,955,0.707407,0,0,52,22,2000,2021
cgp_capacity_mw,1350,58,1292,0.957037,0,0,29,21,2002,2023
chapo_loan_usd,1350,24,1326,0.982222,0,0,15,14,2000,2018
cofi_loan_usd,1350,73,1277,0.945926,0,0,31,19,2000,2020
cla_loan_usd,1350,448,902,0.668148,0,0,47,25,2000,2024
aiddata_grant_usd,1350,835,515,0.381481,0,0,51,24,2000,2023
aiddata_debt_relief_usd,1350,76,1274,0.943704,0,0,38,13,2001,2018
chapo_grant_usd,1350,380,970,0.718519,0,0,52,22,2000,2021
aiddata_unspecified_usd,1350,15,1335,0.988889,0,0,11,12,2001,2022
aiddata_loan_usd,1350,531,819,0.606667,1,0,49,24,2000,2023
codf_loan_usd,1350,252,1098,0.813333,0,0,44,17,2008,2024
restruct_loan_usd,1350,16,1334,0.988148,0,0,10,11,2002,2019
cancel_debt_relief_usd,1350,77,1273,0.942963,0,0,37,15,2001,2019
cgef_loan_usd,1350,94,1256,0.93037,0,0,33,20,2002,2023
cofi_equity_usd,1350,5,1345,0.996296,0,0,5,4,2008,2017
ihme_disbursement_2023_usd_million,1350,1288,62,0.045926,0,0,54,24,2000,2023
china_eu_dfchina_2017_usd,1350,726,624,0.462222,1,0,52,17,2000,2017
china_eu_oda_2017_usd,1350,640,710,0.525926,0,0,52,17,2000,2017
china_eu_oof_2017_usd,1350,234,1116,0.826667,0,0,46,17,2000,2017
aidexports_total_usd,1350,540,810,0.6,65,0,54,10,2015,2024
aidexports_medical_usd,1350,540,810,0.6,105,0,54,10,2015,2024
aidexports_non_medical_usd,1350,540,810,0.6,75,0,54,10,2015,2024
fdi_stock_usd,1350,1188,162,0.12,97,0,54,22,2003,2024
fdi_flow_usd,1350,1188,162,0.12,199,146,54,22,2003,2024
