project_entity_id,country_iso3,year,canonical_title,member_count,source_count,sources,member_record_keys,match_basis,amount_policy
PM-2E21FFAC6390A9,,2000,Chinese Government dispatches 16th medical team to Makélékélé Reference Hospital and Talangaï Hospital,2,2,aiddata|chapo,aiddata:36338|chapo:36338,direct_reference,no_cross_source_amount_selected_or_summed
PM-F2847EF4314141,,2000,Chinese Government dispatches 9th Chinese medical team to the Friendship Hospital in Bangui,2,2,aiddata|chapo,aiddata:36233|chapo:36233,direct_reference,no_cross_source_amount_selected_or_summed
SRC-09C10B348E4A6E,,2000,Chinese Government provides grant for Alphonse Massamba-Debat Stadium Rehabilitation Project (linked to Record ID#s #57779 and #32011),1,1,aiddata,aiddata:73775,source_record,no_cross_source_amount_selected_or_summed
SRC-82BFC9D21F8F4D,,2000,Chinese Government provides CFA 150 million grant for population census and pre-electoral operations,1,1,aiddata,aiddata:73679,source_record,no_cross_source_amount_selected_or_summed
SRC-C525A4B384425D,,2000,Chinese Government provides RMB 2 million grant for Parliament Building Maintenance Project,1,1,aiddata,aiddata:57805,source_record,no_cross_source_amount_selected_or_summed
SRC-C758FAB8D62106,,2000,Zeregbo Gold Mining Development,1,1,cla,cla:CI.001,source_record,no_cross_source_amount_selected_or_summed
SRC-E315C4E0C90072,,2000,Chinese Government provides RMB 31.2 million grant for 74MW Moukoukoulou Hydroelectric Power Plant Rehabilitation Project,1,1,aiddata,aiddata:57889,source_record,no_cross_source_amount_selected_or_summed
SRC-0A1BB91CBF0C0D,,2001,Chinese Government cancels $43 million of the Republic of Congo's outstanding obligations,1,1,aiddata,aiddata:334,source_record,no_cross_source_amount_selected_or_summed
SRC-1AED43B1BAA529,,2001,Chinese Government provides $7.44 million grant for Mosaka and Sibiti Water Supply Project,1,1,aiddata,aiddata:58405,source_record,no_cross_source_amount_selected_or_summed
SRC-323174ED91302C,,2001,Chinese Government cancels $9.38 million of the Government of CAR’s outstanding debt obligations,1,1,aiddata,aiddata:373,source_record,no_cross_source_amount_selected_or_summed
PM-64FD3EB4DE77D3,,2002,"Chinese Government donates equipment worth RMB 800,000 to Central African Republic for 11th medical team (Linked to Record ID#36232)",2,2,aiddata|chapo,aiddata:87607|chapo:87607,direct_reference,no_cross_source_amount_selected_or_summed
PM-C3B22567DFA09C,,2002,Chinese Government provides RMB 80 million grant for Loandjili General Hospital Construction Project,2,2,aiddata|chapo,aiddata:57864|chapo:57864,direct_reference,no_cross_source_amount_selected_or_summed
PM-E24D019562894E,,2002,Chinese Government dispatches 10th Chinese medical team to the Friendship Hospital in Bangui (Linked to Record ID#87607),2,2,aiddata|chapo,aiddata:36232|chapo:36232,direct_reference,no_cross_source_amount_selected_or_summed
SRC-3C72B896CFD974,,2002,Chinese Government provides RMB 75 million interest-free loan for Barthélemy Boganda Sports Complex Construction Project (Linked to Record ID#56589),1,1,aiddata,aiddata:352,source_record,no_cross_source_amount_selected_or_summed
SRC-767D04FD6719F2,,2002,Chinese Government provides RMB 40 million grant for Public Housing Project (100 Units),1,1,aiddata,aiddata:56268,source_record,no_cross_source_amount_selected_or_summed
SRC-853BBA9CF1AB0E,,2002,Barthélemy Boganda Stadium in Bangui,1,1,cla,cla:CF.011,source_record,no_cross_source_amount_selected_or_summed
PM-F8D1D566EEF174,,2003,Chinese Government dispatches 17th medical team to Makélékélé Reference Hospital and Talangaï Hospital,2,2,aiddata|chapo,aiddata:36337|chapo:36337,direct_reference,no_cross_source_amount_selected_or_summed
