project_match_id,source_db,record_id,country_iso3,country_name_en,country_name_zh,panel_eligible,year,year_basis,project_name,description,amount_value,amount_unit,price_basis,amount_measure,metric_value,metric_unit,flow_type_raw,fund_type,sector_raw,sector_harmonized,sector_mapping_method,latitude,longitude,geo_precision,is_regional,is_framework,amount_missing,is_estimated,is_imputed,is_outlier,match_status,match_confidence,candidate_count,source_file
PM-B6C4DFAC3AE0AE,aiddata,85232,DZA,Algeria,阿尔及利亚,True,2000,commitment_year,"Chinese Government dispatches 17th medical team to Algiers, Aïn Defla, Tiaret, Sétif, Khenchela, Batna, Mascara, and Saïda",,,USD,constant_2023_usd,commitment,,,Free-standing technical assistance,grant,120,health,rule_based_v1,,,country,False,False,True,False,False,False,direct_reference,1,0,aiddata_africa_clean.csv
PM-E45C867A0F0303,aiddata,21879,DZA,Algeria,阿尔及利亚,True,2002,commitment_year,"Chinese Government dispatches 18th medical team to Algiers, Aïn Defla, Tiaret, Sétif, Khenchela, Batna, Mascara, and Saïda",,,USD,constant_2023_usd,commitment,,,Free-standing technical assistance,grant,120,health,rule_based_v1,,,country,False,False,True,False,False,False,direct_reference,1,0,aiddata_africa_clean.csv
SRC-1EBECDAF2509AB,aiddata,22429,DZA,Algeria,阿尔及利亚,True,2002,commitment_year,Chinese Government funds Guelma Ceramic Factory Reconstruction Project,,,USD,constant_2023_usd,commitment,,,Vague TBD,unspecified,320,industry_mining,rule_based_v1,,,country,False,False,True,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-E9ABAB5E8DD916,aiddata,20,DZA,Algeria,阿尔及利亚,True,2003,commitment_year,ICBC contributes to $40 million buyer’s credit loan for CDMA WLL Local Telephone Project,,45000698.411717,USD,constant_2023_usd,commitment,,,Loan,loan,220,communications,rule_based_v1,,,country,False,False,False,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-647299AAEC0BD9,aiddata,14,DZA,Algeria,阿尔及利亚,True,2003,commitment_year,Chinese Government provides RMB 5 million grant for Boumerdès earthquake response activities,,1359193.045706,USD,constant_2023_usd,commitment,,,Grant,grant,720,government,rule_based_v1,,,country,False,False,False,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-30BB066B3F2CD0,aiddata,62969,DZA,Algeria,阿尔及利亚,True,2003,commitment_year,Chinese Government dispatches experts to advise on reconstruction planning after 2003 Boumerdès earthquake (Linked to Record ID#14),,,USD,constant_2023_usd,commitment,,,Free-standing technical assistance,grant,730,industry_mining,rule_based_v1,,,country,False,False,True,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-806D7B747C8D7E,aiddata,62970,DZA,Algeria,阿尔及利亚,True,2003,commitment_year,"Chinese Government donates 10,000 radios to support Boumerdès earthquake relief efforts",,,USD,constant_2023_usd,commitment,,,Grant,grant,720,transport,rule_based_v1,,,country,False,False,True,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-B0AA4B72A76532,aiddata,73663,DZA,Algeria,阿尔及利亚,True,2003,commitment_year,China sends International Rescue Team to Algeria following the 2003 Boumerdès earthquake,,,USD,constant_2023_usd,commitment,,,Free-standing technical assistance,grant,720,humanitarian,rule_based_v1,,,country,False,False,True,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-A0688CFD73C4DD,aiddata,516,DZA,Algeria,阿尔及利亚,True,2004,commitment_year,Chinese Government provides RMB 10 million grant — via ETCA — for Fixed Seismic Observation Network Project,,2541688.144252,USD,constant_2023_usd,commitment,,,Grant,grant,740,government,rule_based_v1,,,country,False,False,False,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-3DB8745C13C200,aiddata,62309,DZA,Algeria,阿尔及利亚,True,2004,commitment_year,"Chinese Government donates televisions, computers, children’s blankets, stationery and children’s toys",,,USD,constant_2023_usd,commitment,,,Grant,grant,530,government,rule_based_v1,,,country,False,False,True,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
SRC-28F7846EEA56CE,aiddata,529,DZA,Algeria,阿尔及利亚,True,2005,commitment_year,MOFCOM provides $30 million interest-free loan for Ministry of Foreign Affairs Office Building Construction Project,,60129915.570988,USD,constant_2023_usd,commitment,,,Loan,loan,150,industry_mining,rule_based_v1,,,country,False,False,False,False,False,False,unmatched,0,0,aiddata_africa_clean.csv
