metric_id,metric_label,category,unit,price_basis,amount_measure,panel_rows,observed_count,missing_count,missing_rate,countries_with_data,years_with_data,mean,median,std_dev,p25,p75,minimum,maximum,zero_count,negative_count
aiddata,AidData commitments,project_finance,USD,constant_2023_usd,commitment,1350,957,393,0.291111,51,24,347896994.625543,43276799.92454,993852302.112553,8584635.639221,203869065.457697,3255.461739,17102138093.925726,0,0
codf,CODF loan commitments,project_finance,USD,nominal_usd,loan_commitment,1350,252,1098,0.813333,44,17,501376111.111111,200830000.0,1132474726.641275,89085000.0,500000000.0,25000000.0,15089740000.0,0,0
cla,CLA loan commitments,project_finance,USD,nominal_usd,loan_commitment,1350,448,902,0.668148,47,25,380491830.357143,98995000.0,1113727286.066312,20200000.0,344767500.0,660000.0,19538160000.0,0,0
cancel,Debt cancellation,debt,USD,nominal_usd,debt_cancellation,1350,77,1273,0.942963,37,15,29207766.233766,20000000.0,32413753.85457,7270000.0,39860000.0,1430000.0,211000000.0,0,0
restruct,Debt restructuring,debt,USD,nominal_usd,debt_restructuring,1350,16,1334,0.988148,10,11,938446875.0,138500000.0,1921637286.748703,37500000.0,738250000.0,5150000.0,7500000000.0,0,0
cofi,COFI investment,investment,USD,nominal_usd,investment,1350,76,1274,0.943704,32,19,516877690.752612,233900000.0,871621401.490892,109000000.0,568150000.0,1950000.0,4930000000.0,0,0
cgef,CGEF loan commitments,project_finance,USD,nominal_usd,loan_commitment,1350,94,1256,0.93037,33,20,577167659.574468,212425000.0,1608434252.571091,86140000.0,507072500.0,3110000.0,14936600000.0,0,0
chapo,CHAPO commitments,project_finance,USD,constant_2021_usd,commitment,1350,395,955,0.707407,52,22,12391704.577692,1603271.587016,38588931.890845,310835.312227,9000000.0,1680.785403,486790739.224074,0,0
aidexports,Aid exports,trade_proxy,USD,nominal_usd,monthly_exports_annual_sum,1350,540,810,0.6,54,10,4592787.4,2326610.5,6943589.471088,643920.25,5505298.25,0.0,78328651.0,65,0
fdi_stock,FDI stock,investment,USD,nominal_usd,stock,1350,1188,162,0.12,54,22,468143549.633872,94875000.0,919175999.820735,9595000.0,427432500.0,0.0,7472770000.0,97,0
fdi_flow,FDI flow,investment,USD,nominal_usd,flow,1350,1188,162,0.12,54,22,50323912.714352,5425000.0,185764877.045901,0.0,49370000.0,-814910000.0,4807860000.0,199,146
ihme,IHME DAH disbursement,health,USD million,constant_2023_usd,disbursement,1350,1288,62,0.045926,54,24,289.436165,136.679042,402.651236,41.116078,346.032742,0.00222,3051.261193,0,0
china_eu_finance,China development finance,project_finance,USD,constant_2017_usd,development_finance,1350,726,624,0.462222,52,17,492507779.878961,45842441.785705,1958703716.614306,12850794.508545,224122898.915577,0.0,29151748255.83055,1,0
cgp_capacity,CGP capacity,energy,MW,not_applicable,capacity,1350,58,1292,0.957037,29,21,464.667414,171.6,1032.323249,65.5,357.5,12.0,6132.0,0,0
