metric_id,metric_label,series_variant,break_number,break_year,pre_start_year,pre_end_year,post_start_year,post_end_year,pre_mean_original,post_mean_original,relative_change,bic_improvement,evidence_strength,unit,price_basis
fdi_stock,FDI stock,annual_total,1,2008,2003,2007,2008,2011,1681800000.0,11179262500.0,5.647201,60.667434,strong,USD,nominal_usd
fdi_stock,FDI stock,coverage_normalized_mean,1,2008,2003,2007,2008,2011,31144444.444444,207023379.629629,5.647201,60.667434,strong,USD,nominal_usd
fdi_stock,FDI stock,annual_total,2,2012,2008,2011,2012,2015,11179262500.0,28739987500.0,1.57083,60.667434,strong,USD,nominal_usd
fdi_stock,FDI stock,coverage_normalized_mean,2,2012,2008,2011,2012,2015,207023379.629629,532221990.740741,1.57083,60.667434,strong,USD,nominal_usd
fdi_stock,FDI stock,annual_total,3,2016,2012,2015,2016,2024,28739987500.0,43118726329.44888,0.500304,60.667434,strong,USD,nominal_usd
fdi_stock,FDI stock,coverage_normalized_mean,3,2016,2012,2015,2016,2024,532221990.740741,798494932.026831,0.500304,60.667434,strong,USD,nominal_usd
ihme,IHME DAH disbursement,annual_total,1,2004,2000,2003,2004,2007,4276.84823,8759.620426,1.048149,43.310253,strong,USD million,constant_2023_usd
ihme,IHME DAH disbursement,annual_total,2,2008,2004,2007,2008,2012,8759.620426,15046.95742,0.717764,43.310253,strong,USD million,constant_2023_usd
ihme,IHME DAH disbursement,annual_total,3,2013,2008,2012,2013,2023,15046.95742,22310.283541,0.482711,43.310253,strong,USD million,constant_2023_usd
ihme,IHME DAH disbursement,coverage_normalized_mean,1,2004,2000,2003,2004,2007,79.200893,163.133687,1.059746,42.869899,strong,USD million,constant_2023_usd
ihme,IHME DAH disbursement,coverage_normalized_mean,2,2008,2004,2007,2008,2012,163.133687,279.611874,0.714005,42.869899,strong,USD million,constant_2023_usd
ihme,IHME DAH disbursement,coverage_normalized_mean,3,2013,2008,2012,2013,2023,279.611874,417.57882,0.493423,42.869899,strong,USD million,constant_2023_usd
cla,CLA loan commitments,annual_total,1,2006,2000,2005,2006,2011,1021528333.333333,6294918333.333333,5.162255,35.350482,strong,USD,nominal_usd
